ID_Tempat,Nama_Tempat,Daerah,Latitude,Longitude,Telepon,Gambar,Menu
t0078,Babi Guling Negari,Gianyar,"-85,506,964","1,153,342,594",81 238 511 78,"78_a,78_b","Daging Babi Guling, Kuah Soto Balung, Nasi Kikil Babi Guling, Lawar, Nasi Babi Guling"
t0079,Babi Guling Sanur,Denpasar,"-86,824,865","1,152,579,463",361287308,"79_a,79_b","Nasi Campur, Babi Guling Campur, Kulit Babi Guling, Sate Babi"
t0080,Warung Kayu Manis,Denpasar,"-86,687,658","1,152,400,642",81353215333,"80_a,80_b","Pulung Pulung Ayam Kuah, Paket Nasi Campur PSBB, Paket Nasi Kare Ayam, Nasi Campur Biasa, Tipat Kuah Ayam Spesial"
t0081,Warung Kulkul Bali,Gatsu Barat,"-86,362,075","1,150,765,424",822-4796-9229,"81_a,81_b","Tipat Cantok, Rujak Gula, Rujak Kuah Pindang, Rujak Bulung, Tipat Plecing"
t0082,Babi Guling Selingsing Cepaka,Tabanan,"-85,994,863","115,145,909",813 3785 4662,"82_a,82_b","Nasi Babi Guling Campur Biasa, Nasi Babi Guling Pisah Biasa, Nasi Babi Guling Pisah Spesial, Paket Daging Luar Kota, Nasi Babi Guling Campur Spesial"
t0083,Siobak Singaraja Khe Lok,Singaraja,"-81,124,446","1,150,822,911",36222760,"83_a,83_b","Siobak, Bakso Babi Balung, Cah Sayur Ayam, Sate Babi, Bakwan Goreng Babi"
t0084,Lawar Warung Nasi Lukluk,Kapal,"-85,816,803","1,151,878,186",3614422690,"84_a,84_b","Nasi Campur Komplit, Nasi Campur Biasa, Nasi Campur Spesial, Nasi Lawar Merah Biasa, Nasi Lawar Spesial"
t0085,Warung Sate Plecing Arjuna,Denpasar Utara,"-86,529,446","115,215,282",87867789002,"85_a,85_b","Sate Babi, Sate Sapi, Soto Bakso Sapi, Bakso Sapi, Soto Sapi"
t0086,Warung lawar kodi,Denpasar,"-86,529,446","115,215,282",361289230,"86_a,86_b","Lawar Babi, Serapah Babi, Nasi Campur, Nasi Campur Lawar"
t0087,Warung Depe (Nasi Lawar Bali),Denpasar Barat,"-8,703,902","1,151,498,801",81338708468,"87_a,87_b","Nasi Lawar Babi Campur Komplit, Nasi Lawar Babi Campur Komplit Soto, Kuah Ares, Nasi Lawar Babi Campur Biasa, Lawar Babi Putih "
t0088,Warung Nasi Lawar Yan Negro,Denpasar Utara,"-86,545,559","115,175,579",0,"88_a,88_b","Nasi Lawar Babi Biasa, Nasi Lawar Babi Komplit, Lawar Babi, Lawar Ayam, Sate Lilit Ayam"
t0089,Warung Nasi Lawar Bali,Denpasar Barat,"-8,663,065","1,151,524,981",82144831803,"89_a,89_b","Lawar Merah Khas Bali, Lawar Putih Khas Bali, Be Genyol Babi, Nasi Campur Istimewa, Lawar Vegetarian"
t0090,Warung Lawar Be Bali Penatih,Denpasar,"-86,227,474","1,152,408,593",81226665050,"90_a,90_b","Paket Komplit, Nasi Lawar Campur, Lauk Campur, Nasi Lawar Biasa, Lauk Spesial"
